Origin,Edge,Destination
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='' > Date </div><div id=4 class='' > Attachment </div><div id=5 class='' > To </div><div id=6 class='' > Drafts </div><div id=7 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=8 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=9 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=7 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p> </div>,<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='' > Date </div><div id=4 class='' > Attachment </div><div id=5 class='' > To </div><div id=6 class='' > Drafts </div><div id=7 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=8 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=9 class='' description='Open navigation drawer'>  </div> </div>
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='' > Date </div><div id=4 class='' > Attachment </div><div id=5 class='' > To </div><div id=6 class='' > Drafts </div><div id=7 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=8 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=9 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=4 class='' > Attachment </div>,<div id=1 class='com.google.android.gm:id/hub_drawer_label_container' > Help & feedback </div><div id=2 class='com.google.android.gm:id/hub_drawer_label_container' > Settings </div><div id=3 class='com.google.android.gm:id/hub_drawer_label_container' > Contacts </div><div id=4 class='com.google.android.gm:id/hub_drawer_label_container' > Calendar </div><div id=5 class='com.google.android.gm:id/hub_drawer_label_container' > Notes </div><div id=6 class='com.google.android.gm:id/hub_drawer_label_container' > Trash    <p> 3 </p> </div><div id=7 class='com.google.android.gm:id/hub_drawer_label_container' > Spam    <p> 23 </p> </div><div id=8 class='com.google.android.gm:id/hub_drawer_label_container' > All mail    <p> 54 </p> </div><div id=9 class='com.google.android.gm:id/hub_drawer_label_container' > Drafts </div><div id=10 class='com.google.android.gm:id/hub_drawer_label_container' > Outbox </div><div id=11 class='com.google.android.gm:id/hub_drawer_label_container' > Scheduled </div><div id=12 class='com.google.android.gm:id/hub_drawer_label_container' > Sent </div><div id=13 class='com.google.android.gm:id/hub_drawer_label_container' > Important </div><div id=14 class='com.google.android.gm:id/hub_drawer_label_container' > Snoozed </div><div id=15 class='com.google.android.gm:id/hub_drawer_label_container' > Starred </div><button id=16 class='' description='Meet'>  </button><div id=17 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=18 class='' > Date </div><div id=19 class='' > Attachment </div><div id=20 class='' > To </div><div id=21 class='' > Drafts </div><div id=22 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=23 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=24 class='' description='Open navigation drawer'>  </div> </div>
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=5 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=5 class='' description='Open navigation drawer'>  </div>,<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=5 class='' description='Open navigation drawer'>  </div> </div>
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=4 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=5 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div>,<div id=1 class='com.google.android.gm:id/composearea_tap_trap_bottom' >  </div><div id=2 class='' > Compose email </div><div id=3 class='com.google.android.gm:id/subject' > Subject </div><button id=4 class='com.google.android.gm:id/add_cc_bcc' description='Add Cc/Bcc'>  </button><div id=5 class='' >  </div><div id=6 class='com.google.android.gm:id/peoplekit_autocomplete_to_prefix' > To </div><div id=7 class='com.google.android.gm:id/from_label' description='From'> From </div><button id=8 class='' description='More options'>  </button><div id=9 class='com.google.android.gm:id/send' description='Send'>  </div><div id=10 class='com.google.android.gm:id/add_attachment' description='Attach file'>  </div><div id=11 class='' description='Navigate up'>  </div>
<div id=1 class='com.google.android.gm:id/composearea_tap_trap_bottom' >  </div><div id=2 class='' > Compose email </div><div id=3 class='com.google.android.gm:id/subject' > Subject </div><button id=4 class='com.google.android.gm:id/add_cc_bcc' description='Add Cc/Bcc'>  </button><div id=5 class='' >  </div><div id=6 class='com.google.android.gm:id/peoplekit_autocomplete_to_prefix' > To </div><div id=7 class='com.google.android.gm:id/from_label' description='From'> From </div><button id=8 class='' description='More options'>  </button><div id=9 class='com.google.android.gm:id/send' description='Send'>  </div><div id=10 class='com.google.android.gm:id/add_attachment' description='Attach file'>  </div><div id=11 class='' description='Navigate up'>  </div>,Action: Edit <div id=6 class='com.google.android.gm:id/peoplekit_autocomplete_to_prefix' > To </div> with recipient's email address,<div id=1 class='com.google.android.gm:id/smart_draft_fab' > Help me write </div><button id=2 class='com.google.android.gm:id/add_cc_bcc' description='Add Cc/Bcc'>  </button><button id=3 class='' > Add recipient    <p> send money with gmail </p> </button><div id=4 class='com.google.android.gm:id/peoplekit_autocomplete_chip_group' > send money with gmail    <div id=5 class='' > send money with gmail </div> </div><div id=6 class='com.google.android.gm:id/peoplekit_autocomplete_to_prefix' > To </div><div id=7 class='com.google.android.gm:id/from_label' description='From'> From </div><button id=8 class='' description='More options'>  </button><div id=9 class='com.google.android.gm:id/send' description='Send'>  </div><div id=10 class='com.google.android.gm:id/add_attachment' description='Attach file'>  </div><div id=11 class='' description='Navigate up'>  </div>
<div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div><div id=2 class='com.android.chrome:id/tab_switcher_button' description='Switch or close tabs'>  </div><div id=3 class='com.android.chrome:id/optional_toolbar_button' description='Manage account'>  </div><div id=4 class='com.android.chrome:id/home_button' description='Home'>  </div><div id=5 class='' description='Share 【微信自动化】使用c#实现微信自动化- 四处观察;;Card Menu 【微信自动化】使用c#实现微信自动化- 四处观察'>     <div id=6 class='' description='Card Menu 【微信自动化】使用c#实现微信自动化- 四处观察'>  </div>    <div id=7 class='' description='Share 【微信自动化】使用c#实现微信自动化- 四处观察'>  </div> </div><div id=8 class='' description='Share Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith;;Card Menu Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith'>     <div id=9 class='' description='Card Menu Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith'>  </div>    <div id=10 class='' description='Share Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith'>  </div> </div><div id=11 class='com.android.chrome:id/header_menu' description='Options for Discover'>  </div><button id=12 class='' description='Navigate: V2EX: www.v2ex.com'> V2EX </button><button id=13 class='' description='Navigate: 维基百科: zh.m.wikipedia.org'> 维基百科 </button><button id=14 class='' description='Navigate: GitHub: github.com'> GitHub </button><button id=15 class='' description='Navigate: Facebook: m.facebook.com'> Facebook </button><button id=16 class='' description='Navigate: 虎扑: www.hupu.com'> 虎扑 </button><button id=17 class='' description='Navigate: 百度: www.baidu.com'> 百度 </button><button id=18 class='' description='Navigate: Decoder: localhost'> Decoder </button><button id=19 class='' description='Navigate: https://m.youtube.com/: m.youtube.com'> https://m.youtube.com/ </button><button id=20 class='com.android.chrome:id/lens_camera_button' description='Search with your camera using Google Lens'>  </button><button id=21 class='com.android.chrome:id/voice_search_button' description='Start voice search'>  </button><div id=22 class='com.android.chrome:id/search_box_text' > Search or type web address </div>,Action: Click on <div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div>,<div id=1 class='com.android.chrome:id/help_id' description='Help & feedback'> Help & feedback </div><div id=2 class='com.android.chrome:id/preferences_id' description='Settings'> Settings </div><div id=3 class='com.android.chrome:id/divider_line_id' >  </div><div id=4 class='com.android.chrome:id/recent_tabs_menu_id' description='Recent tabs'> Recent tabs </div><div id=5 class='com.android.chrome:id/all_bookmarks_menu_id' description='Bookmarks'> Bookmarks </div><div id=6 class='com.android.chrome:id/downloads_menu_id' description='Downloads'> Downloads </div><div id=7 class='com.android.chrome:id/open_history_menu_id' description='History'> History </div><div id=8 class='com.android.chrome:id/divider_line_id' >  </div><div id=9 class='com.android.chrome:id/new_incognito_tab_menu_id' description='New Incognito tab'> New Incognito tab </div><div id=10 class='com.android.chrome:id/new_tab_menu_id' description='New tab'> New tab </div><div id=11 class='com.android.chrome:id/update_menu_id' description='Update Chrome'> Update Chrome    <p> Newer version is available </p> </div><div id=12 class='com.android.chrome:id/button_five' description='Refresh'>  </div><div id=13 class='com.android.chrome:id/button_four' description='Page info'>  </div><div id=14 class='com.android.chrome:id/button_three' description='Download'>  </div><div id=15 class='com.android.chrome:id/button_two' description='Bookmark'>  </div><div id=16 class='com.android.chrome:id/button_one' description='Forward'>  </div>
<div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div><div id=2 class='com.android.chrome:id/tab_switcher_button' description='Switch or close tabs'>  </div><div id=3 class='com.android.chrome:id/optional_toolbar_button' description='Manage account'>  </div><div id=4 class='com.android.chrome:id/home_button' description='Home'>  </div><div id=5 class='' description='Share 【微信自动化】使用c#实现微信自动化- 四处观察;;Card Menu 【微信自动化】使用c#实现微信自动化- 四处观察'>     <div id=6 class='' description='Card Menu 【微信自动化】使用c#实现微信自动化- 四处观察'>  </div>    <div id=7 class='' description='Share 【微信自动化】使用c#实现微信自动化- 四处观察'>  </div> </div><div id=8 class='' description='Share Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith;;Card Menu Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith'>     <div id=9 class='' description='Card Menu Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith'>  </div>    <div id=10 class='' description='Share Boost Your Bottom Line and Performance: OpenAI’s 3.5T Fine-Tuning with LangSmith'>  </div> </div><div id=11 class='com.android.chrome:id/header_menu' description='Options for Discover'>  </div><button id=12 class='' description='Navigate: V2EX: www.v2ex.com'> V2EX </button><button id=13 class='' description='Navigate: 维基百科: zh.m.wikipedia.org'> 维基百科 </button><button id=14 class='' description='Navigate: GitHub: github.com'> GitHub </button><button id=15 class='' description='Navigate: Facebook: m.facebook.com'> Facebook </button><button id=16 class='' description='Navigate: 虎扑: www.hupu.com'> 虎扑 </button><button id=17 class='' description='Navigate: 百度: www.baidu.com'> 百度 </button><button id=18 class='' description='Navigate: Decoder: localhost'> Decoder </button><button id=19 class='' description='Navigate: https://m.youtube.com/: m.youtube.com'> https://m.youtube.com/ </button><button id=20 class='com.android.chrome:id/lens_camera_button' description='Search with your camera using Google Lens'>  </button><button id=21 class='com.android.chrome:id/voice_search_button' description='Start voice search'>  </button><div id=22 class='com.android.chrome:id/search_box_text' > Search or type web address </div>,Action: Click on <div id=1 class='com.android.chrome:id/menu_button' description='More options'>  </div>,<div id=1 class='com.android.chrome:id/help_id' description='Help & feedback'> Help & feedback </div><div id=2 class='com.android.chrome:id/preferences_id' description='Settings'> Settings </div><div id=3 class='com.android.chrome:id/divider_line_id' >  </div><div id=4 class='com.android.chrome:id/recent_tabs_menu_id' description='Recent tabs'> Recent tabs </div><div id=5 class='com.android.chrome:id/all_bookmarks_menu_id' description='Bookmarks'> Bookmarks </div><div id=6 class='com.android.chrome:id/downloads_menu_id' description='Downloads'> Downloads </div><div id=7 class='com.android.chrome:id/open_history_menu_id' description='History'> History </div><div id=8 class='com.android.chrome:id/divider_line_id' >  </div><div id=9 class='com.android.chrome:id/new_incognito_tab_menu_id' description='New Incognito tab'> New Incognito tab </div><div id=10 class='com.android.chrome:id/new_tab_menu_id' description='New tab'> New tab </div><div id=11 class='com.android.chrome:id/update_menu_id' description='Update Chrome'> Update Chrome    <p> Newer version is available </p> </div><div id=12 class='com.android.chrome:id/button_five' description='Refresh'>  </div><div id=13 class='com.android.chrome:id/button_four' description='Page info'>  </div><div id=14 class='com.android.chrome:id/button_three' description='Download'>  </div><div id=15 class='com.android.chrome:id/button_two' description='Bookmark'>  </div><div id=16 class='com.android.chrome:id/button_one' description='Forward'>  </div>
<div id=1 class='com.android.chrome:id/help_id' description='Help & feedback'> Help & feedback </div><div id=2 class='com.android.chrome:id/preferences_id' description='Settings'> Settings </div><div id=3 class='com.android.chrome:id/divider_line_id' >  </div><div id=4 class='com.android.chrome:id/recent_tabs_menu_id' description='Recent tabs'> Recent tabs </div><div id=5 class='com.android.chrome:id/all_bookmarks_menu_id' description='Bookmarks'> Bookmarks </div><div id=6 class='com.android.chrome:id/downloads_menu_id' description='Downloads'> Downloads </div><div id=7 class='com.android.chrome:id/open_history_menu_id' description='History'> History </div><div id=8 class='com.android.chrome:id/divider_line_id' >  </div><div id=9 class='com.android.chrome:id/new_incognito_tab_menu_id' description='New Incognito tab'> New Incognito tab </div><div id=10 class='com.android.chrome:id/new_tab_menu_id' description='New tab'> New tab </div><div id=11 class='com.android.chrome:id/update_menu_id' description='Update Chrome'> Update Chrome    <p> Newer version is available </p> </div><div id=12 class='com.android.chrome:id/button_five' description='Refresh'>  </div><div id=13 class='com.android.chrome:id/button_four' description='Page info'>  </div><div id=14 class='com.android.chrome:id/button_three' description='Download'>  </div><div id=15 class='com.android.chrome:id/button_two' description='Bookmark'>  </div><div id=16 class='com.android.chrome:id/button_one' description='Forward'>  </div>,Action: Click on <div id=5 class='com.android.chrome:id/all_bookmarks_menu_id' description='Bookmarks'> Bookmarks </div>,<button id=1 class='' > Bookmarks bar    <p> 187 bookmarks </p> </button><button id=2 class='' > Mobile bookmarks    <p> No bookmarks </p> </button><button id=3 class='' > Reading list    <p> No unread pages </p> </button><div id=4 class='com.android.chrome:id/close_menu_id' description='Close dialog'>  </div><div id=5 class='com.android.chrome:id/search_menu_id' description='Search'>  </div>
<div id=1 class='' >  </div><div id=2 class='' > Mobile plan </div><div id=3 class='' > VPN    <p> None </p> </div><div id=4 class='' > Data Saver    <p> Off </p> </div><div id=5 class='' > Hotspot & tethering    <p> Off </p> </div><div id=6 class='' > SIMs    <p> T-Mobile </p> </div><div id=7 class='' > Calls & SMS    <p> T-Mobile </p> </div><div id=8 class='' > Internet    <p> AndroidWifi </p> </div><div id=9 class='' description='Navigate up'>  </div>,Action: Click on <div id=8 class='' > Internet    <p> AndroidWifi </p> </div>,<div id=1 class='' > Auto‑connect    <switch id=2 class='android:id/switch_widget' clickable> On </switch> </div><div id=3 class='' > Network usage    <p> Detect automatically </p> </div><div id=4 class='com.android.settings:id/button4' > Share </div><div id=5 class='com.android.settings:id/button3' > Disconnect </div><div id=6 class='com.android.settings:id/button1' > Forget </div><div id=7 class='' description='Modify'>  </div><div id=8 class='' description='Navigate up'>  </div>
<button id=1 class='com.google.android.deskclock:id/tab_menu_bedtime' description='Bedtime'> Bedtime </button><button id=2 class='com.google.android.deskclock:id/tab_menu_stopwatch' description='Stopwatch'> Stopwatch </button><button id=3 class='com.google.android.deskclock:id/tab_menu_timer' description='Timer'> Timer </button><button id=4 class='com.google.android.deskclock:id/tab_menu_alarm' description='Alarm'> Alarm </button><div id=5 class='com.google.android.deskclock:id/fab' description='Add city'>  </div><button id=6 class='com.google.android.deskclock:id/overflow_action_button' description='More options'>  </button>,Action: Click on <button id=6 class='com.google.android.deskclock:id/overflow_action_button' description='More options'>  </button>,<div id=1 class='' > Help </div><div id=2 class='' > Send feedback </div><div id=3 class='' > Privacy policy </div><div id=4 class='' > Settings </div><div id=5 class='' > Screen saver </div>
<div id=1 class='' > Help </div><div id=2 class='' > Send feedback </div><div id=3 class='' > Privacy policy </div><div id=4 class='' > Settings </div><div id=5 class='' > Screen saver </div>,Action: Click on <div id=4 class='' > Settings </div>,<div id=1 class='' > Snooze length    <p> 10 minutes </p> </div><div id=2 class='' > Silence after    <p> 10 minutes </p> </div><div id=3 class='' > Change date & time </div><div id=4 class='' > Home time zone    <p> (GMT+8:00) Beijing </p> </div><div id=5 class='' > Automatic home clock    <p> While traveling in an area where the time is different;; add a clock for home </p>    <switch id=6 class='com.google.android.deskclock:id/switchWidget' clickable> On </switch> </div><div id=7 class='' > Display time with seconds    <switch id=8 class='com.google.android.deskclock:id/switchWidget' clickable> Off </switch> </div><button id=9 class='' > Style    <p> Digital </p> </button><button id=10 class='com.google.android.deskclock:id/overflow_action_button' description='More options'>  </button><div id=11 class='' description='Navigate up'>  </div>
<div id=1 class='' > Snooze length    <p> 10 minutes </p> </div><div id=2 class='' > Silence after    <p> 10 minutes </p> </div><div id=3 class='' > Change date & time </div><div id=4 class='' > Home time zone    <p> (GMT+8:00) Beijing </p> </div><div id=5 class='' > Automatic home clock    <p> While traveling in an area where the time is different;; add a clock for home </p>    <switch id=6 class='com.google.android.deskclock:id/switchWidget' clickable> On </switch> </div><div id=7 class='' > Display time with seconds    <switch id=8 class='com.google.android.deskclock:id/switchWidget' clickable> Off </switch> </div><button id=9 class='' > Style    <p> Digital </p> </button><button id=10 class='com.google.android.deskclock:id/overflow_action_button' description='More options'>  </button><div id=11 class='' description='Navigate up'>  </div>,Action: Click on <div id=3 class='' > Change date & time </div>,<div id=1 class='' > Use 24-hour format    <p> 1:00 PM </p>    <switch id=2 class='android:id/switch_widget' clickable> Off </switch> </div><div id=3 class='' > Use locale default    <switch id=4 class='android:id/switch_widget' clickable> On </switch> </div><div id=5 class='' > Time zone    <p> GMT+08:00 China Standard Time </p> </div><div id=6 class='' > Use location    <p> Location may be used to set time zone </p>    <switch id=7 class='android:id/switch_widget' clickable> Off </switch> </div><div id=8 class='' > Time    <p> 9:17 PM </p> </div><div id=9 class='' > Date    <p> August 30;; 2023 </p> </div><div id=10 class='' description='Navigate up'>  </div>
<div id=1 class='' > Use 24-hour format    <p> 1:00 PM </p>    <switch id=2 class='android:id/switch_widget' clickable> Off </switch> </div><div id=3 class='' > Use locale default    <switch id=4 class='android:id/switch_widget' clickable> On </switch> </div><div id=5 class='' > Time zone    <p> GMT+08:00 China Standard Time </p> </div><div id=6 class='' > Use location    <p> Location may be used to set time zone </p>    <switch id=7 class='android:id/switch_widget' clickable> Off </switch> </div><div id=8 class='' > Time    <p> 9:17 PM </p> </div><div id=9 class='' > Date    <p> August 30;; 2023 </p> </div><div id=10 class='' description='Navigate up'>  </div>,Action: Click on <div id=1 class='' > Use 24-hour format    <p> 1:00 PM </p> </div>,<div id=1 class='' > Use 24-hour format    <p> 13:00 </p>    <switch id=2 class='android:id/switch_widget' clickable> On </switch> </div><div id=3 class='' > Use locale default    <switch id=4 class='android:id/switch_widget' clickable> Off </switch> </div><div id=5 class='' > Time zone    <p> GMT+08:00 China Standard Time </p> </div><div id=6 class='' > Use location    <p> Location may be used to set time zone </p>    <switch id=7 class='android:id/switch_widget' clickable> Off </switch> </div><div id=8 class='' > Time    <p> 21:19 </p> </div><div id=9 class='' > Date    <p> August 30;; 2023 </p> </div><div id=10 class='' description='Navigate up'>  </div>
<button id=1 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_collections' description='Collections Button'> Collections </button><button id=2 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_search' description='Search'> Search </button><div id=3 class='' description='Like this card;;Share Duet AI in Google Cloud Preview;;More options'>     <div id=4 class='' description='More options'>  </div>    <div id=5 class='' description='Share Duet AI in Google Cloud Preview'>  </div>    <div id=6 class='' description='Like this card'>  </div> </div><div id=7 class='com.google.android.googlequicksearchbox:id/googleapp_facade_search_box' description='Search…;;Voice search;;Camera search'> Search…    <div id=8 class='com.google.android.googlequicksearchbox:id/googleapp_lens_icon' description='Camera search'>  </div>    <div id=9 class='com.google.android.googlequicksearchbox:id/googleapp_mic_icon' description='Voice search'>  </div> </div><button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,Action: Click on <button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,<div id=1 class='com.google.android.googlequicksearchbox:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.googlequicksearchbox:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.googlequicksearchbox:id/og_card' > Help & feedback </div><div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div><div id=5 class='com.google.android.googlequicksearchbox:id/og_card' > Your data in Search </div><div id=6 class='com.google.android.googlequicksearchbox:id/og_card' > Reminders </div><div id=7 class='com.google.android.googlequicksearchbox:id/og_card' > Results about you    <p> Beta </p> </div><div id=8 class='com.google.android.googlequicksearchbox:id/og_card' description='Delete last 15 minutes of Search history from your Google account'> Delete last 15 minutes </div><div id=9 class='com.google.android.googlequicksearchbox:id/og_card' > Search history    <p> Saving </p> </div><div id=10 class='com.google.android.googlequicksearchbox:id/og_card' > New Chrome incognito tab </div><div id=11 class='com.google.android.googlequicksearchbox:id/my_account_chip' > Manage your Google Account </div><div id=12 class='com.google.android.googlequicksearchbox:id/selected_account_view' description='Change profile picture.;;Signed in as Bowen Wangsaltyp0rridge20@gmail.com;;Expand account list.'> Bowen Wang    <p> saltyp0rridge20@gmail.com </p>    <button id=13 class='com.google.android.googlequicksearchbox:id/account_avatar' description='Change profile picture.'>  </button> </div><button id=14 class='com.google.android.googlequicksearchbox:id/og_header_close_button' description='Close'>  </button>
<button id=1 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_collections' description='Collections Button'> Collections </button><button id=2 class='com.google.android.googlequicksearchbox:id/googleapp_navigation_bar_search' description='Search'> Search </button><div id=3 class='' description='Like this card;;Share Chat with pandas DataFrames using LLMs;;More options'>     <div id=4 class='' description='More options'>  </div>    <div id=5 class='' description='Share Chat with pandas DataFrames using LLMs'>  </div>    <div id=6 class='' description='Like this card'>  </div> </div><div id=7 class='com.google.android.googlequicksearchbox:id/googleapp_facade_search_box' description='Search…;;Voice search;;Camera search'> Search…    <div id=8 class='com.google.android.googlequicksearchbox:id/googleapp_lens_icon' description='Camera search'>  </div>    <div id=9 class='com.google.android.googlequicksearchbox:id/googleapp_mic_icon' description='Voice search'>  </div> </div><button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button><button id=11 class='com.google.android.googlequicksearchbox:id/googleapp_share_doodle_image' description='Share doodle'>  </button><button id=12 class='com.google.android.googlequicksearchbox:id/googleapp_doodle' description='Singapore National Elections 2023'>  </button>,Action: Click on <button id=10 class='com.google.android.googlequicksearchbox:id/googleapp_selected_account_disc' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,<div id=1 class='com.google.android.googlequicksearchbox:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.googlequicksearchbox:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.googlequicksearchbox:id/og_card' > Help & feedback </div><div id=4 class='com.google.android.googlequicksearchbox:id/og_card' > Settings </div><div id=5 class='com.google.android.googlequicksearchbox:id/og_card' > Your data in Search </div><div id=6 class='com.google.android.googlequicksearchbox:id/og_card' > Reminders </div><div id=7 class='com.google.android.googlequicksearchbox:id/og_card' > Results about you    <p> Beta </p> </div><div id=8 class='com.google.android.googlequicksearchbox:id/og_card' description='Delete last 15 minutes of Search history from your Google account'> Delete last 15 minutes </div><div id=9 class='com.google.android.googlequicksearchbox:id/og_card' > Search history    <p> Saving </p> </div><div id=10 class='com.google.android.googlequicksearchbox:id/og_card' > New Chrome incognito tab </div><div id=11 class='com.google.android.googlequicksearchbox:id/my_account_chip' > Manage your Google Account </div><div id=12 class='com.google.android.googlequicksearchbox:id/selected_account_view' description='Change profile picture.;;Signed in as Bowen Wangsaltyp0rridge20@gmail.com;;Expand account list.'> Bowen Wang    <p> saltyp0rridge20@gmail.com </p>    <button id=13 class='com.google.android.googlequicksearchbox:id/account_avatar' description='Change profile picture.'>  </button> </div><button id=14 class='com.google.android.googlequicksearchbox:id/og_header_close_button' description='Close'>  </button>
